RegionName,mean_zhi
01610,384668.85420411854
01611,401263.1652975684
01612,529564.2894082775
01701,693723.6922570302
01702,651774.1171418648
01719,966878.490001266
01720,960297.5865410093
01721,742000.6918607545
01730,1039250.1731026516
01740,882281.9027860427
01741,1305437.6537673871
01742,1507585.4868243367
01746,724885.1895513247
01747,579299.129828808
01748,974703.9506327324
01749,611397.7383531966
01752,605177.320100248
01754,607109.1820137707
01756,697324.1058856682
01757,559964.8297311155
01760,950705.7290452984
01770,1235396.990858975
01772,964472.5979109476
01773,1658494.0634630204
01775,826434.8965764403
01776,1169156.9546844782
01778,1165366.078670633
01801,754859.2146030245
01803,848962.7710980525
01810,1017566.2256757912
01821,684403.6937609995
01824,721871.176215942
01826,588392.3476743296
01827,777342.6537389727
01830,560790.6275454593
01832,580360.304567198
01833,735127.7178195575
01834,692705.2656851878
01835,580945.1622223802
01841,479008.1466898177
01843,509003.70523280464
01844,599472.342913824
01845,902959.2512618044
01850,467575.68830586085
01851,518819.1555041191
01852,536835.5208594041
01854,527597.6101371021
01860,667183.2582924416
01862,750257.3693393263
01863,620235.5095629814
01867,926214.9499833372
01876,681254.6113346308
01879,677541.5392460269
01880,816547.8382835464
01886,870130.3750241785
01887,750343.3898442943
01890,1638312.7997322914
01902,556127.8285926495
01904,610702.6296888721
01905,569330.5030073236
01906,683232.4908732121
01907,874879.0011713533
01908,961301.2985719228
01913,651850.2597070126
01915,752909.9673402201
01921,1021865.8396224728
01922,809943.0398493378
01923,739993.9493570123
01929,893083.8080070182
01930,772008.0167617729
01938,858056.959465567
01940,1046592.8184628284
01944,1395374.0967664274
01945,1065490.0126916226
01949,952994.5126600582
01950,999244.6800454232
01951,937085.4732214728
01952,624545.9097088437
01960,704769.6331658443
01966,860884.0758991226
01969,789933.4301938365
01970,662241.4512274562
01982,850376.6260237903
01983,932508.400309772
01984,1009481.3400425108
01985,921420.9183114396
02019,522837.7788584008
02021,857717.5257295701
02025,1399102.6702074176
02026,753683.7507942203
02030,1745549.6073353973
02032,797158.2776168283
02035,702236.2524714185
02038,719024.3419616804
02043,1277725.202181034
02045,717349.5007990474
02048,714801.3657331369
02050,767952.6849617251
02052,1050970.9863114546
02053,708823.2807856092
02054,668482.0555686228
02056,807308.438019733
02061,995598.9870598055
02062,732264.2995186774
02066,948494.6208731944
02067,860294.8664101558
02071,809308.3335545798
02072,612733.5225889554
02081,787536.277860151
02090,1190849.3321380503
02093,741947.5537443697
02108,5381056.933363768
02114,2639965.8006636216
02115,1389339.419546392
02116,2581080.35910171
02118,2775874.2781946105
02119,675842.7978594598
02120,860619.3953962792
02121,668773.6840852246
02122,746462.3318312089
02124,746945.0162522076
02125,770747.3066670881
02126,591739.7419666619
02127,1057211.0481036012
02128,734847.5973011482
02129,1433905.6453845345
02130,1130272.1879819138
02131,778330.916289431
02132,837510.3723920538
02134,923685.8157027572
02135,923576.3320026264
02136,639979.9788295482
02138,2469736.935762662
02139,1580879.62672844
02140,1595172.5943964997
02141,1195954.906699777
02143,1183664.292697159
02144,1406350.6240695214
02145,972845.9481318096
02148,700930.4058502523
02149,651464.6217520346
02150,622398.7899625622
02151,663084.6812547734
02152,754317.5195452942
02155,877384.6535998074
02169,671087.1925833422
02170,744663.7345664183
02171,747463.3655570807
02176,904923.3488231142
02180,826436.2951636306
02184,737134.0513812393
02186,1034855.5352893644
02188,602889.1216918258
02189,603220.4941228024
02190,658529.6784127891
02191,599237.9350943126
02301,511829.2395717541
02302,476226.60009294393
02322,547992.0602176505
02324,631038.3790296898
02330,549413.7038106899
02332,1088532.8503280787
02333,572270.0305550598
